timestamp,name,loc,duration,tag,rank
1736345241428.01,optimizer_step,none,19.79,,0
1736345241458.67,epoch_06_1000,none,5160.88,,0
1736345241458.76,wait_valid_batch,none,0.00,,0
1736345241458.92,batch_06_000_32,none,159.53,finish,0
1736345241458.92,global_batch_06_000_500,none,2581.33,finish,0
1736345241618.50,wait_valid_batch,none,0.00,,0
1736345241618.65,batch_06_001_32,none,162.97,finish,0
1736345241781.67,wait_valid_batch,none,0.00,,0
1736345241781.81,batch_06_002_32,none,163.00,finish,0
1736345241944.87,wait_valid_batch,none,0.00,,0
1736345241945.02,batch_06_003_32,none,162.92,finish,0
1736345242107.99,wait_valid_batch,none,0.00,,0
1736345242108.13,batch_06_004_32,none,162.96,finish,0
1736345242271.15,wait_valid_batch,none,0.01,,0
1736345242271.31,batch_06_005_32,none,163.77,finish,0
1736345242435.18,wait_valid_batch,none,0.01,,0
1736345242435.38,batch_06_006_32,none,163.72,finish,0
1736345242599.17,wait_valid_batch,none,0.00,,0
1736345242599.32,batch_06_007_32,none,163.39,finish,0
1736345242762.77,wait_valid_batch,none,0.00,,0
1736345242762.93,batch_06_008_32,none,163.30,finish,0
1736345242926.28,wait_valid_batch,none,0.00,,0
1736345242926.42,batch_06_009_32,none,162.94,finish,0
1736345243089.42,wait_valid_batch,none,0.00,,0
1736345243089.57,batch_06_010_32,none,163.07,finish,0
1736345243252.69,wait_valid_batch,none,0.00,,0
1736345243252.84,batch_06_011_32,none,162.95,finish,0
1736345243415.85,wait_valid_batch,none,0.00,,0
1736345243416.00,batch_06_012_32,none,163.00,finish,0
1736345243579.05,wait_valid_batch,none,0.00,,0
1736345243579.20,batch_06_013_32,none,162.94,finish,0
1736345243742.19,wait_valid_batch,none,0.00,,0
1736345243742.34,batch_06_014_32,none,162.99,finish,0
1736345243905.37,wait_valid_batch,none,0.00,,0
1736345243905.53,batch_06_015_20,none,134.70,finish,0
1736345244009.70,optimizer_step,none,19.79,,0
1736345244040.29,wait_valid_batch,none,0.00,,0
1736345244040.46,batch_06_016_32,none,159.53,finish,0
1736345244040.47,global_batch_06_016_500,none,2579.04,finish,0
1736345244200.04,wait_valid_batch,none,0.00,,0
1736345244200.19,batch_06_017_32,none,162.98,finish,0
1736345244363.21,wait_valid_batch,none,0.00,,0
1736345244363.36,batch_06_018_32,none,162.95,finish,0
1736345244526.36,wait_valid_batch,none,0.01,,0
1736345244526.50,batch_06_019_32,none,162.95,finish,0
1736345244689.50,wait_valid_batch,none,0.00,,0
1736345244689.65,batch_06_020_32,none,162.90,finish,0
1736345244852.60,wait_valid_batch,none,0.00,,0
1736345244852.75,batch_06_021_32,none,163.00,finish,0
1736345245015.79,wait_valid_batch,none,0.00,,0
1736345245015.94,batch_06_022_32,none,162.95,finish,0
1736345245178.94,wait_valid_batch,none,0.00,,0
1736345245179.09,batch_06_023_32,none,162.98,finish,0
1736345245342.12,wait_valid_batch,none,0.00,,0
1736345245342.27,batch_06_024_32,none,163.02,finish,0
1736345245505.34,wait_valid_batch,none,0.00,,0
1736345245505.49,batch_06_025_32,none,163.03,finish,0
1736345245668.58,wait_valid_batch,none,0.00,,0
1736345245668.73,batch_06_026_32,none,162.99,finish,0
1736345245831.77,wait_valid_batch,none,0.00,,0
1736345245831.91,batch_06_027_32,none,163.04,finish,0
1736345245995.00,wait_valid_batch,none,0.00,,0
1736345245995.15,batch_06_028_32,none,163.00,finish,0
1736345246158.20,wait_valid_batch,none,0.00,,0
1736345246158.35,batch_06_029_32,none,162.99,finish,0
1736345246321.38,wait_valid_batch,none,0.00,,0
1736345246321.53,batch_06_030_32,none,162.93,finish,0
1736345246484.51,wait_valid_batch,none,0.00,,0
1736345246484.67,batch_06_031_20,none,134.82,finish,0
1736345246589.04,optimizer_step,none,19.69,,0
1736345246619.60,epoch_07_1000,none,5162.83,,0
1736345246619.68,wait_valid_batch,none,0.00,,0
1736345246619.83,batch_07_000_32,none,159.70,finish,0
1736345246619.84,global_batch_07_000_500,none,2582.85,finish,0
1736345246779.59,wait_valid_batch,none,0.00,,0
1736345246779.74,batch_07_001_32,none,162.99,finish,0
1736345246942.79,wait_valid_batch,none,0.00,,0
1736345246942.94,batch_07_002_32,none,163.09,finish,0
1736345247106.08,wait_valid_batch,none,0.00,,0
1736345247106.23,batch_07_003_32,none,163.01,finish,0
1736345247269.29,wait_valid_batch,none,0.00,,0
1736345247269.44,batch_07_004_32,none,163.04,finish,0
1736345247432.53,wait_valid_batch,none,0.00,,0
1736345247432.68,batch_07_005_32,none,163.02,finish,0
